Yes,No,Task,Label1,Label2,Label3,Self_shape,Friend_shape,Stranger_shape,intro_label1,intro_label2,intro_label3,Shape1,Shape2,Shape3,intro_label_type1,intro_label_type2,Label,Target,Shape,CorrectAnswer,key_commands.thisRepN,key_commands.thisTrialN,key_commands.thisN,key_commands.thisIndex,task_order.thisRepN,task_order.thisTrialN,task_order.thisN,task_order.thisIndex,task_block.thisRepN,task_block.thisTrialN,task_block.thisN,task_block.thisIndex,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,moving_window_loop.thisRepN,moving_window_loop.thisTrialN,moving_window_loop.thisN,moving_window_loop.thisIndex,thisRow.t,notes,intro.started,intro_text.started,intro_resp.started,intro.stopped,instructions.started,instructions_text.started,instructions_resp.started,instructions.stopped,practice_fixation.started,practice_fixation_cross.started,practice_fixation.stopped,practice_target.started,practice_target_label.started,practice_target_plus.started,practice_target_shape.started,practice_resp.started,practice_target_label_valence.started,practice_target_label.stopped,practice_target_plus.stopped,practice_target_shape.stopped,practice_target_label_valence.stopped,practice_target.stopped,practice_resp.keys,practice_resp.corr,practice_resp.rt,practice_resp.duration,practice_ITI.started,ITI_text.started,ITI_text.stopped,practice_ITI.stopped,practice_feedback.started,practice_feedback_text.started,practice_feedback_text.stopped,practice_feedback.stopped,practice_resp.stopped,init_list_of_accuracies.started,text_2.started,init_list_of_accuracies.stopped,evaluate_accuracy.started,myaccuracy,number_of_attempts,evaluate_accuracy.stopped,print_accuracy.started,text_7.started,text_3.started,text_4.started,key_resp.started,print_accuracy.stopped,key_resp.keys,key_resp.rt,key_resp.duration,bakloop.started,text_6.started,bakloop.stopped,reset_acc_if.started,reset_acc_if.stopped,participant,group,session,Age,Gender,Handiness,date,expName,psychopyVersion,frameRate,expStart,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Self,Self,Self,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,4.247592499999996,,0.022255799999982173,0.03218119999996816,0.03218119999996816,0.9991686999999843,1.0114853999999696,1.0479044999999587,1.0479044999999587,2.163893299999984,2.1639094999999884,2.179531499999996,4.177470199999959,4.184619199999986,4.247592499999996,4.247592499999996,4.247592499999996,4.247592499999996,4.247592499999996,4.510167999999965,4.510167999999965,4.510167999999965,4.510167999999965,4.777588299999991,m,0,0.520480100000043,None,4.778112700000008,4.792690199999981,5.858297599999958,5.842284699999993,5.842301399999997,5.858297599999958,6.374338999999964,6.341705999999988,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Self,Stranger,Stranger,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,6.374338999999964,,,,,,,,,,,,,6.342027199999961,6.374338999999964,6.374338999999964,6.374338999999964,6.374338999999964,6.374338999999964,6.6241167999999675,6.6241167999999675,6.6241167999999675,6.6241167999999675,6.674855399999956,m,1,0.2897028000000432,None,6.675212999999985,6.690505999999971,7.872405499999957,7.856349599999987,7.856396099999984,7.872405499999957,8.388457399999993,8.355787999999961,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Friend,Friend,Friend,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,,,,,8.388457399999993,,,,,,,,,,,,,8.356101999999964,8.388457399999993,8.388457399999993,8.388457399999993,8.388457399999993,8.388457399999993,8.637832899999978,8.637832899999978,8.637832899999978,8.637832899999978,8.656253899999967,m,0,0.2624181000000476,None,8.656857099999968,8.671020499999997,9.886461999999995,9.870359299999961,9.870376499999963,9.886461999999995,10.402513499999998,10.369646899999964,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Stranger,Stranger,Stranger,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,,,,,10.402513499999998,,,,,,,,,,,,,10.36996819999996,10.402513499999998,10.402513499999998,10.402513499999998,10.402513499999998,10.402513499999998,10.652031999999963,10.652031999999963,10.652031999999963,10.652031999999963,10.88593149999997,m,0,0.4772738000000345,None,10.886279299999956,10.901773300000002,11.817152399999998,11.801206799999989,11.801223800000002,11.817152399999998,12.333101499999998,12.300533299999984,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Friend,Self,Self,No,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,,,,,12.333101499999998,,,,,,,,,,,,,12.300837899999976,12.333101499999998,12.333101499999998,12.333101499999998,12.333101499999998,12.333101499999998,12.582935599999985,12.582935599999985,12.582935599999985,12.582935599999985,12.600418300000001,m,1,0.2603108000000134,None,12.600829900000008,12.616157999999984,13.664727699999958,13.648767799999973,13.648785499999974,13.664727699999958,14.18081239999998,14.148142399999983,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Stranger,Friend,Friend,No,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,,,,,14.18081239999998,,,,,,,,,,,,,14.148491100000001,14.18081239999998,14.18081239999998,14.18081239999998,14.18081239999998,14.18081239999998,,,,,14.315069199999982,m,1,0.12198050000000649,None,14.315412899999956,14.330477099999996,15.262718099999972,15.24672559999999,15.246741799999995,15.262718099999972,15.778632899999991,15.746026799999981,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Friend,Friend,Friend,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,,,,,15.778632899999991,,,,,,,,,,,,,15.74639129999997,15.778632899999991,15.778632899999991,15.778632899999991,15.778632899999991,15.778632899999991,,,,,15.996168499999953,m,0,0.21331850000001396,None,15.996499400000005,16.011712099999954,16.96087559999995,16.94449149999997,16.944509100000005,16.96087559999995,,17.459847999999965,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Stranger,Self,Self,No,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,,,,,17.492905500000006,,,,,,,,,,,,,17.46023249999996,17.492905500000006,17.492905500000006,17.492905500000006,17.492905500000006,17.492905500000006,17.74277129999996,17.74277129999996,17.74277129999996,17.74277129999996,17.976450999999997,m,1,0.4797801000000277,None,17.976854899999978,17.992529399999967,19.140951299999983,19.12480919999996,19.124826299999995,19.140951299999983,19.6568484,19.624198799999988,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Self,Friend,Friend,No,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,,,,,19.6568484,,,,,,,,,,,,,19.624564399999997,19.6568484,19.6568484,19.6568484,19.6568484,19.6568484,19.906642199999965,19.906642199999965,19.906642199999965,19.906642199999965,21.189243900000008,m,1,1.5251954999999953,None,21.189620699999978,21.20485689999998,22.2202092,22.20411279999996,22.20413229999997,22.2202092,22.736174000000005,22.70362929999999,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Friend,Stranger,Stranger,No,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,5,,,,,22.736174000000005,,,,,,,,,,,,,22.70395209999998,22.736174000000005,22.736174000000005,22.736174000000005,22.736174000000005,22.736174000000005,22.985911199999975,22.985911199999975,22.985911199999975,22.985911199999975,24.83413479999996,None,0,,,24.834476699999982,24.85010619999997,25.848737099999994,25.832286699999997,25.832304199999953,25.848737099999994,26.364817200000005,26.332235699999956,24.85010619999997,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Self,Self,Self,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,,,,,26.364817200000005,,,,,,,,,,,,,26.332633999999985,26.364817200000005,26.364817200000005,26.364817200000005,26.364817200000005,26.364817200000005,,,,,26.565554200000008,m,0,0.1856467000000066,None,26.565891999999963,26.581110199999955,27.546290599999963,27.5307095,27.5307373,27.546290599999963,28.0625445,28.029905299999996,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Stranger,Stranger,Stranger,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,,,,,28.0625445,,,,,,,,,,,,,28.030267100000003,28.0625445,28.0625445,28.0625445,28.0625445,28.0625445,28.312158299999965,28.312158299999965,28.312158299999965,28.312158299999965,28.646153400000003,m,0,0.568584699999974,None,28.646498099999974,28.66176889999997,29.960024699999963,29.94403269999998,29.944051299999956,29.960024699999963,,30.44434789999997,,,,,,,,,,,,,,,,,,,,,,,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Self,Friend,Friend,No,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,31.507898099999977,,,,,,,,,,,,,31.467543799999987,31.507898099999977,31.507898099999977,31.507898099999977,31.507898099999977,31.507898099999977,31.757711099999995,31.757711099999995,31.757711099999995,31.757711099999995,33.60573899999997,None,0,,,33.60616369999997,33.621823199999994,34.57038849999998,34.5541609,34.554189099999974,34.57038849999998,35.086356199999955,35.05395540000001,33.621823199999994,30.444681799999955,30.46063749999996,31.458218399999964,35.0539756,[0],0,35.054247799999985,35.054260099999965,35.086356199999955,35.086356199999955,35.086356199999955,35.086356199999955,37.41775819999998,m,2.324864400000024,None,37.41852349999999,37.43331949999998,38.43245539999998,38.43247389999999,38.4330003,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
n,m,Self,T,C,S,Triangle,Circle,Square,yourself,a stranger,your friend,self,stranger,friend,words,person,Friend,Stranger,Stranger,No,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,1,5,38.46546969999997,,,,,,,,,,,,,38.4334609,38.46546969999997,38.46546969999997,38.46546969999997,38.46546969999997,38.46546969999997,38.71484879999997,38.71484879999997,38.71484879999997,38.71484879999997,38.932118799999955,m,1,0.4646819000000164,None,38.932723099999976,38.94835889999996,39.99682659999996,39.98081789999998,39.98084699999998,39.99682659999996,40.496002499999975,40.480220299999985,,,,,40.48023869999997,"[0, 1]",0,40.480718199999956,40.48073979999998,40.496002499999975,40.496002499999975,40.496002499999975,40.496002499999975,40.846951599999954,m,0.34681570000003603,None,40.84729229999999,40.86247329999998,41.86133079999996,41.86134819999995,41.8618884,,A,001,,,,2023-11-23_07h05.29.166,GemmaAssocLearnV3,2023.2.3,60.06316242160834,2023-11-23 07h05.35.499097 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.89423919999996,,,,,,,,,,,,,41.86233469999996,41.89423919999996,41.89423919999996,41.89423919999996,41.89423919999996,41.89423919999996,42.14420529999995,42.14420529999995,42.14420529999995,42.14420529999995,42.594265699999994,m,0,0.6958270000000084,None,42.59473049999997,42.61017499999997,43.77523809999997,43.75939639999996,43.75941739999996,43.77523809999997,44.27489609999998,44.2593741,,,,,44.259389099999964,"[0, 1, 0]",0,44.25966199999999,44.25967909999997,44.27489609999998,44.27489609999998,44.27489609999998,44.27489609999998,,,,,,,,,,,,,,,,,,,,,
